,favorite_count,tweet_id,retweet_count,date,weekday
351,10583,834089966724603904,2290,2017-02-21 17:18:39,Tue
352,33582,829501995190984704,11524,2017-02-09 01:27:41,Thu
353,29221,831911600680497154,7057,2017-02-15 17:02:36,Wed
354,0,834477809192075265,11524,2017-02-22 18:59:48,Wed
355,2199,835246439529840640,78,2017-02-24 21:54:03,Fri
356,0,828801551087042563,3693,2017-02-07 03:04:22,Tue
357,20221,836753516572119041,4971,2017-03-01 01:42:39,Wed
358,11420,834931633769889797,1783,2017-02-24 01:03:08,Fri
359,11105,825876512159186944,2035,2017-01-30 01:21:19,Mon
360,15676,833479644947025920,2236,2017-02-20 00:53:27,Mon
361,6741,825026590719483904,1396,2017-01-27 17:04:02,Fri
362,15483,836380477523124226,3186,2017-02-28 01:00:19,Tue
363,17753,832757312314028032,3921,2017-02-18 01:03:09,Sat
364,0,835536468978302976,1838,2017-02-25 17:06:32,Sat
365,3083,832645525019123713,563,2017-02-17 17:38:57,Fri
366,22294,834786237630337024,5910,2017-02-23 15:25:23,Thu
367,0,826615380357632002,4299,2017-02-01 02:17:19,Wed
368,11032,831670449226514432,1963,2017-02-15 01:04:21,Wed
369,38765,828708714936930305,12198,2017-02-06 20:55:28,Mon
370,14426,834574053763584002,2735,2017-02-23 01:22:14,Thu
371,27523,835172783151792128,6190,2017-02-24 17:01:22,Fri
372,8160,835264098648616962,1838,2017-02-24 23:04:14,Fri
373,0,836648853927522308,591,2017-02-28 18:46:45,Tue
374,13519,825829644528148480,2710,2017-01-29 22:15:05,Sun
375,8099,828408677031882754,1393,2017-02-06 01:03:14,Mon
376,10383,830097400375152640,3259,2017-02-10 16:53:37,Fri
377,18947,833826103416520705,4039,2017-02-20 23:50:09,Mon
378,36627,829374341691346946,10119,2017-02-08 17:00:26,Wed
379,0,832040443403784192,10521,2017-02-16 01:34:34,Thu
380,16810,827324948884643840,3333,2017-02-03 01:16:53,Fri
381,10981,828011680017821696,2335,2017-02-04 22:45:42,Sat
382,70753,830583320585068544,18250,2017-02-12 01:04:29,Sun
383,361,831926988323639298,35,2017-02-15 18:03:45,Wed
384,16342,827653905312006145,3267,2017-02-03 23:04:02,Fri
385,9515,831552930092285952,2485,2017-02-14 17:17:22,Tue
386,22876,826958653328592898,5439,2017-02-02 01:01:21,Thu
387,23650,835152434251116546,3253,2017-02-24 15:40:31,Fri
388,21825,833722901757046785,3469,2017-02-20 17:00:04,Mon
389,0,825120256414846976,1396,2017-01-27 23:16:13,Fri
390,13857,823581115634085888,2883,2017-01-23 17:20:14,Mon
391,9828,813202720496779264,1974,2016-12-26 02:00:11,Mon
392,5669,819952236453363712,1298,2017-01-13 17:00:21,Fri
393,0,821813639212650496,3650,2017-01-18 20:16:54,Wed
394,5075,824025158776213504,645,2017-01-24 22:44:42,Tue
395,4780,813130366689148928,488,2016-12-25 21:12:41,Sun
396,23990,815966073409433600,9327,2017-01-02 17:00:46,Mon
397,0,819015331746349057,20710,2017-01-11 02:57:26,Wed
398,741,823333489516937216,28,2017-01-23 00:56:15,Mon
399,9016,813142292504645637,2594,2016-12-25 22:00:04,Sun
400,14360,819711362133872643,3434,2017-01-13 01:03:12,Fri
401,8968,821765923262631936,1819,2017-01-18 17:07:18,Wed
402,21233,813187593374461952,4801,2016-12-26 01:00:05,Mon
403,0,821421320206483457,6122,2017-01-17 18:17:58,Tue
404,0,816014286006976512,5833,2017-01-02 20:12:21,Mon
405,11075,815390420867969024,4180,2017-01-01 02:53:20,Sun
406,8303,813157409116065792,2440,2016-12-25 23:00:08,Sun
407,5166,817908911860748288,866,2017-01-08 01:40:55,Sun
408,0,814578408554463233,6373,2016-12-29 21:06:41,Thu
409,0,820013781606658049,1298,2017-01-13 21:04:55,Fri
410,24623,819227688460238848,7330,2017-01-11 17:01:16,Wed
411,5993,817415592588222464,1056,2017-01-06 17:00:38,Fri
412,13000,817120970343411712,2877,2017-01-05 21:29:55,Thu
413,9157,817056546584727552,1815,2017-01-05 17:13:55,Thu
414,10696,824663926340194305,1892,2017-01-26 17:02:56,Thu
415,0,816829038950027264,5179,2017-01-05 02:09:53,Thu
416,9274,814530161257443328,2035,2016-12-29 17:54:58,Thu
417,13503,821044531881721856,2505,2017-01-16 17:20:45,Mon
418,11777,818259473185828864,2509,2017-01-09 00:53:55,Mon
419,23670,818627210458333184,8152,2017-01-10 01:15:10,Tue
420,0,820837357901512704,7330,2017-01-16 03:37:31,Mon
421,0,817502432452313088,3714,2017-01-06 22:45:43,Fri
422,0,823719002937630720,12251,2017-01-24 02:28:08,Tue
423,92187,819004803107983360,40170,2017-01-11 02:15:36,Wed
424,0,818646164899774465,22850,2017-01-10 02:30:30,Tue
425,9289,821149554670182400,2199,2017-01-17 00:18:04,Tue
426,19323,822489057087389700,7004,2017-01-20 17:00:46,Fri
427,30325,822462944365645825,16013,2017-01-20 15:17:01,Fri
428,0,813944609378369540,3513,2016-12-28 03:08:11,Wed
429,0,819015337530290176,40170,2017-01-11 02:57:27,Wed
430,21135,820078625395449857,6880,2017-01-14 01:22:35,Sat
431,8789,815639385530101762,1807,2017-01-01 19:22:38,Sun
432,10476,816697700272001025,2427,2017-01-04 17:27:59,Wed
433,32675,816450570814898180,8900,2017-01-04 01:05:59,Wed
434,36546,817423860136083457,16405,2017-01-06 17:33:29,Fri
435,140831,822872901745569793,47878,2017-01-21 18:26:02,Sat
436,270,821153421864615936,10,2017-01-17 00:33:26,Tue
437,13717,819924195358416896,5296,2017-01-13 15:08:56,Fri
438,37273,822244816520155136,10753,2017-01-20 00:50:15,Fri
439,0,818588835076603904,6729,2017-01-09 22:42:41,Mon
440,30786,814153002265309185,9548,2016-12-28 16:56:16,Wed
441,8538,821522889702862852,1934,2017-01-18 01:01:34,Wed
442,20004,813217897535406080,8018,2016-12-26 03:00:30,Mon
443,10196,819588359383371776,2152,2017-01-12 16:54:26,Thu
444,12059,814638523311648768,2972,2016-12-30 01:05:33,Fri
445,2430,819238181065359361,442,2017-01-11 17:42:57,Wed
446,0,822163064745328640,5255,2017-01-19 19:25:24,Thu
447,18389,822975315408461824,3755,2017-01-22 01:12:59,Sun
448,13114,818145370475810820,2843,2017-01-08 17:20:31,Sun
449,55389,817827839487737858,29761,2017-01-07 20:18:46,Sat
450,10215,821107785811234820,2328,2017-01-16 21:32:06,Mon
451,7702,819347104292290561,1323,2017-01-12 00:55:47,Thu
452,11316,823939628516474880,2958,2017-01-24 17:04:50,Tue
453,9316,817171292965273600,2205,2017-01-06 00:49:53,Fri
454,12090,821886076407029760,2558,2017-01-19 01:04:45,Thu
455,9183,816336735214911488,2146,2017-01-03 17:33:39,Tue
456,0,817181837579653120,9327,2017-01-06 01:31:47,Fri
457,9989,813172488309972993,2102,2016-12-26 00:00:03,Mon
458,11648,818536468981415936,2715,2017-01-09 19:14:36,Mon
459,8167,814986499976527872,1422,2016-12-31 00:08:17,Sat
460,9539,816091915477250048,2365,2017-01-03 01:20:49,Tue
461,3552,820314633777061888,620,2017-01-14 17:00:24,Sat
462,0,820494788566847489,620,2017-01-15 04:56:16,Sun
463,5340,815990720817401858,1142,2017-01-02 18:38:42,Mon
464,0,818307523543449600,8900,2017-01-09 04:04:51,Mon
465,12540,821407182352777218,4756,2017-01-17 17:21:47,Tue
466,13371,823699002998870016,2640,2017-01-24 01:08:40,Tue
467,9941,813910438903693312,2067,2016-12-28 00:52:25,Wed
468,15906,824775126675836928,3839,2017-01-27 00:24:48,Fri
469,10533,818614493328580609,2831,2017-01-10 00:24:38,Tue
470,10685,816816676327063552,2233,2017-01-05 01:20:46,Thu
471,0,816062466425819140,1142,2017-01-02 23:23:48,Mon
472,16736,823322678127919110,4385,2017-01-23 00:13:17,Mon
473,12609,817536400337801217,3326,2017-01-07 01:00:41,Sat
474,10525,815736392542261248,2498,2017-01-02 01:48:06,Mon
475,33617,820749716845686786,10842,2017-01-15 21:49:15,Sun
476,0,823269594223824897,10753,2017-01-22 20:42:21,Sun
